LidarTimestamp,MetaTimestamp,MetaX,MetaY,MetaZ,LidarID,LidarX,LidarY,width,length,rotation,classType,height
2024-05-20T20:25:38.665666,2024-05-20T15:25:38.732921,0.1675185,0.535619,0.4683102,373664161,56.548492431640625,-115.81695556640625,0.4402443766593933,0.44001638889312744,0.3689059615135193,10,1.399999976158142
2024-05-20T20:25:38.765864,2024-05-20T15:25:38.816329,0.1675197,0.5355756,0.4682769,373664161,56.67303466796875,-115.75595092773438,0.44028568267822266,0.44005393981933594,0.4172952175140381,10,1.399999976158142
2024-05-20T20:25:38.866061,2024-05-20T15:25:38.931768,0.1674926,0.5355808,0.4682642,373664161,56.818599700927734,-115.70067596435547,0.44027429819107056,0.4400267004966736,0.42114001512527466,10,1.399999976158142
2024-05-20T20:25:38.965593,2024-05-20T15:25:39.038726,0.1674888,0.5356019,0.4682889,373664161,56.9581413269043,-115.63864135742188,0.44028759002685547,0.4398822784423828,0.4331502914428711,10,1.399999976158142
2024-05-20T20:25:39.065791,2024-05-20T15:25:39.122173,0.1675154,0.5355712,0.4682527,373664161,57.073081970214844,-115.5821304321289,0.44028759002685547,0.4398822784423828,0.4331502914428711,10,1.399999976158142
2024-05-20T20:25:39.166004,2024-05-20T15:25:39.232864,0.1675076,0.535584,0.4682178,373664161,57.188018798828125,-115.52561950683594,0.44028759002685547,0.4398822784423828,0.4331502914428711,10,1.399999976158142
2024-05-20T20:25:39.266184,2024-05-20T15:25:39.316138,0.1674872,0.535592,0.468241,373664161,57.245704650878906,-115.48336791992188,0.44025394320487976,0.4397941529750824,0.4150387942790985,10,1.399999976158142
2024-05-20T20:25:39.365734,2024-05-20T15:25:39.427185,0.1674575,0.535673,0.4682507,373664161,57.35287094116211,-115.42879486083984,0.44025394320487976,0.4397941529750824,0.4150387942790985,10,1.399999976158142
2024-05-20T20:25:39.465913,2024-05-20T15:25:39.538101,0.1675023,0.5356466,0.4682283,373664161,57.44477081298828,-115.38522338867188,0.4402892291545868,0.43995627760887146,0.4567211866378784,10,1.399999976158142
2024-05-20T20:25:39.566127,2024-05-20T15:25:39.621428,0.1675134,0.535639,0.4682471,373664161,57.57069778442383,-115.32655334472656,0.44019341468811035,0.43987154960632324,0.5228294730186462,10,1.399999976158142
